electrode_count,load,resistance_ohm,event_count,source_charge_peak_to_peak_nC,modeled_total_transfer_charge_nC,source_current_peak_uA,load_current_peak_uA,load_current_rms_uA,voltage_peak_V,voltage_rms_V,power_peak_mW,power_mean_mW,energy_uJ,duration_s
2,100K,1.000000000000e+05,1,3.800000000000e+02,3.800000000000e+02,5.641275995576e+00,5.641269252065e+00,1.975328391360e+00,5.641269252065e-01,1.975328391360e-01,3.182391877429e-03,3.901922253713e-04,2.819200247967e-01,7.224555320337e-01
2,200K,2.000000000000e+05,1,3.800000000000e+02,3.800000000000e+02,5.641275995576e+00,5.641266811293e+00,1.975328193227e+00,1.128253362259e+00,3.950656386453e-01,6.364778247240e-03,7.803842941912e-04,5.638399364824e-01,7.224555320337e-01
2,500K,5.000000000000e+05,1,3.800000000000e+02,3.800000000000e+02,5.641275995576e+00,5.641256023862e+00,1.975326291709e+00,2.820628011931e+00,9.876631458544e-01,1.591188476338e-02,1.950956979358e-03,1.409597127347e+00,7.224555320337e-01
2,1M,1.000000000000e+06,1,3.800000000000e+02,3.800000000000e+02,5.641275995576e+00,5.641204851033e+00,1.975319333946e+00,5.641204851033e+00,1.975319333946e+00,3.182319217132e-02,3.901886471060e-03,2.819174394415e+00,7.224555320337e-01
2,2M,2.000000000000e+06,1,3.800000000000e+02,3.800000000000e+02,5.641275995576e+00,5.641000794776e+00,1.975291476263e+00,1.128200158955e+01,3.950582952527e+00,6.364177993332e-02,7.803552832398e-03,5.638189756032e+00,7.224555320337e-01
2,5M,5.000000000000e+06,1,3.800000000000e+02,3.800000000000e+02,5.641275995576e+00,5.639578419766e+00,1.975096635065e+00,2.819789209883e+01,9.875483175325e+00,1.590242237635e-01,1.950503358923e-02,1.409269379374e+01,7.224555320337e-01
2,10M,1.000000000000e+07,1,3.800000000000e+02,3.800000000000e+02,5.641275995576e+00,5.634453368710e+00,1.974403097638e+00,5.634453368710e+01,1.974403097638e+01,3.174706476416e-01,3.898267591963e-02,2.816559697018e+01,7.224555320337e-01
2,20M,2.000000000000e+07,1,3.800000000000e+02,3.800000000000e+02,5.641275995576e+00,5.613978691979e+00,1.971663903137e+00,1.122795738396e+02,3.943327806275e+01,6.303351350798e-01,7.774917093869e-02,5.617499982941e+01,7.224555320337e-01
2,50M,5.000000000000e+07,1,3.800000000000e+02,3.800000000000e+02,5.641275995576e+00,5.483624273351e+00,1.953823283598e+00,2.741812136675e+02,9.769116417989e+01,1.503506758564e+00,1.908712711765e-01,1.379074977934e+02,7.224555320337e-01
2,100M,1.000000000000e+08,1,3.800000000000e+02,3.800000000000e+02,5.641275995576e+00,5.147829099620e+00,1.902406921099e+00,5.147829099620e+02,1.902406921099e+02,2.650014443890e+00,3.619152093446e-01,2.614894348180e+02,7.224555320337e-01
2,200M,2.000000000000e+08,1,3.800000000000e+02,3.800000000000e+02,5.641275995576e+00,4.448645522212e+00,1.774058905015e+00,8.897291044424e+02,3.548117810030e+02,3.958089396460e+00,6.294569996927e-01,4.547925709081e+02,7.224555320337e-01
2,500M,5.000000000000e+08,1,3.800000000000e+02,3.800000000000e+02,5.641275995576e+00,3.080328194914e+00,1.450571814497e+00,1.540164097457e+03,7.252859072487e+02,4.744210894190e+00,1.052079294507e+00,7.601409329523e+02,7.224555320337e-01
2,1G,1.000000000000e+09,1,3.800000000000e+02,3.800000000000e+02,5.641275995576e+00,2.044827942801e+00,1.098051209068e+00,2.044827942801e+03,1.098051209068e+03,4.181321315661e+00,1.205716457736e+00,8.711306982157e+02,7.224555320337e-01
2,2G,2.000000000000e+09,1,3.800000000000e+02,3.800000000000e+02,5.641275995576e+00,1.238356074032e+00,7.127232406895e-01,2.476712148064e+03,1.425446481379e+03,3.067051532184e+00,1.015948835638e+00,7.340138098956e+02,7.224555320337e-01
2,5G,5.000000000000e+09,1,3.800000000000e+02,3.800000000000e+02,5.641275995576e+00,5.772987046910e-01,3.480032264513e-01,2.886493523455e+03,1.740016132256e+03,1.666368972190e+00,6.055312281025e-01,4.374976824555e+02,7.224555320337e-01
2,10G,1.000000000000e+10,1,3.800000000000e+02,3.800000000000e+02,5.641275995576e+00,3.083804973266e-01,1.925090056245e-01,3.083804973266e+03,1.925090056245e+03,9.509853113142e-01,3.705971724654e-01,2.677604820676e+02,7.224555320337e-01
4,100K,1.000000000000e+05,2,6.500000000000e+02,6.500000000000e+02,5.668742989763e+00,5.668736093618e+00,2.442016342150e+00,5.668736093618e-01,2.442016342150e-01,3.213456889909e-03,5.963443815329e-04,4.308681016224e-01,7.224555320337e-01
4,200K,2.000000000000e+05,2,6.500000000000e+02,6.500000000000e+02,5.668742989763e+00,5.668733624850e+00,2.442016062441e+00,1.133746724970e+00,4.884032124882e-01,6.426908181902e-03,1.192688489844e-03,8.617360057683e-01,7.224555320337e-01
4,500K,5.000000000000e+05,2,6.500000000000e+02,6.500000000000e+02,5.668742989763e+00,5.668722918625e+00,2.442013499315e+00,2.834361459313e+00,1.221006749658e+00,1.606720976407e-02,2.981714965419e-03,2.154335490928e+00,7.224555320337e-01
4,1M,1.000000000000e+06,2,6.500000000000e+02,6.500000000000e+02,5.668742989763e+00,5.668671529641e+00,2.442004544559e+00,5.668671529641e+00,2.442004544559e+00,3.213383691096e-02,5.963386195649e-03,4.308639377972e+00,7.224555320337e-01
4,2M,2.000000000000e+06,2,6.500000000000e+02,6.500000000000e+02,5.668742989763e+00,5.668466542989e+00,2.441969668851e+00,1.133693308598e+01,4.883939337703e+00,6.426302589797e-02,1.192643172718e-02,8.617032601827e+00,7.224555320337e-01
4,5M,5.000000000000e+06,2,6.500000000000e+02,6.500000000000e+02,5.668742989763e+00,5.667037277484e+00,2.441729903014e+00,2.833518638742e+01,1.220864951507e+01,1.605765575220e-01,2.981022459636e-02,2.153835122864e+01,7.224555320337e-01
4,10M,1.000000000000e+07,2,6.500000000000e+02,6.500000000000e+02,5.668742989763e+00,5.661888041242e+00,2.440882496266e+00,5.661888041242e+01,2.440882496266e+01,3.205697619156e-01,5.957907360577e-02,4.304680742308e+01,7.224555320337e-01
4,20M,2.000000000000e+07,2,6.500000000000e+02,6.500000000000e+02,5.668742989763e+00,5.641315951988e+00,2.437546643004e+00,1.128263190398e+02,4.875093286008e+01,6.364889134031e-01,1.188326727364e-01,8.585845208392e+01,7.224555320337e-01
4,50M,5.000000000000e+07,2,6.500000000000e+02,6.500000000000e+02,5.668742989763e+00,5.510334958696e+00,2.415890993382e+00,2.755167479348e+02,1.207945496691e+02,1.518189567851e+00,2.918264645952e-01,2.108491288389e+02,7.224555320337e-01
4,100M,1.000000000000e+08,2,6.500000000000e+02,6.500000000000e+02,5.668742989763e+00,5.172884198901e+00,2.353958792198e+00,5.172884198901e+02,2.353958792198e+02,2.675873093524e+00,5.541121995367e-01,4.003544534534e+02,7.224555320337e-01
4,200M,2.000000000000e+08,2,6.500000000000e+02,6.500000000000e+02,5.668742989763e+00,4.470065564690e+00,2.204229717238e+00,8.940131129381e+02,4.408459434477e+02,3.996297230526e+00,9.717257292714e-01,7.020847442555e+02,7.224555320337e-01
4,500M,5.000000000000e+08,2,6.500000000000e+02,6.500000000000e+02,5.668742989763e+00,3.094373430853e+00,1.854372092358e+00,1.547186715427e+03,9.271860461791e+02,4.787573464786e+00,1.719347928459e+00,1.242231575427e+03,7.224555320337e-01
4,1G,1.000000000000e+09,2,6.500000000000e+02,6.500000000000e+02,5.668742989763e+00,2.142725571894e+00,1.459503884992e+00,2.142725571894e+03,1.459503884992e+03,4.591272876448e+00,2.130151590306e+00,1.539002981089e+03,7.224555320337e-01
4,2G,2.000000000000e+09,2,6.500000000000e+02,6.500000000000e+02,5.668742989763e+00,1.602618733071e+00,9.858346424720e-01,3.205237466141e+03,1.971669284944e+03,5.136773607178e+00,1.943739884596e+00,1.404310753373e+03,7.224555320337e-01
4,5G,5.000000000000e+09,2,6.500000000000e+02,6.500000000000e+02,5.668742989763e+00,8.781547078649e-01,5.044621922058e-01,4.390773539325e+03,2.522310961029e+03,3.855778454727e+00,1.272410516826e+00,9.193141182288e+02,7.224555320337e-01
4,10G,1.000000000000e+10,2,6.500000000000e+02,6.500000000000e+02,5.668742989763e+00,4.978033052634e-01,2.866766395548e-01,4.978033052634e+03,2.866766395548e+03,2.478081307312e+00,8.218349566646e-01,5.937837478070e+02,7.224555320337e-01
6,100K,1.000000000000e+05,3,8.418421052632e+02,8.418421052632e+02,5.725200848151e+00,5.725194772850e+00,2.748969050821e+00,5.725194772850e-01,2.748969050821e-01,3.277785518707e-03,7.556830842369e-04,5.459925281538e-01,7.224555320337e-01
6,200K,2.000000000000e+05,3,8.418421052632e+02,8.418421052632e+02,5.725200848151e+00,5.725194051526e+00,2.748968689721e+00,1.145038810305e+00,5.497937379441e-01,6.555569385526e-03,1.511365771413e-03,1.091984769154e+00,7.224555320337e-01
6,500K,5.000000000000e+05,3,8.418421052632e+02,8.418421052632e+02,5.725200848151e+00,5.725180373748e+00,2.748965645941e+00,2.862590186874e+00,1.374482822970e+00,1.638884515598e-02,3.778406061282e-03,2.729955873013e+00,7.224555320337e-01
6,1M,1.000000000000e+06,3,8.418421052632e+02,8.418421052632e+02,5.725200848151e+00,5.725130115878e+00,2.748955982512e+00,5.725130115878e+00,2.748955982512e+00,3.277711484374e-02,7.556758993790e-03,5.459873342026e+00,7.224555320337e-01
6,2M,2.000000000000e+06,3,8.418421052632e+02,8.418421052632e+02,5.725200848151e+00,5.724925797800e+00,2.748920691937e+00,1.144985159560e+01,5.497841383874e+00,6.554955078063e-02,1.511312994112e-02,1.091946624058e+01,7.224555320337e-01
6,5M,5.000000000000e+06,3,8.418421052632e+02,8.418421052632e+02,5.725200848151e+00,5.723482191619e+00,2.748688362448e+00,2.861741095809e+01,1.374344181224e+01,1.637912419889e-01,3.777643856929e-02,2.729405083639e+01,7.224555320337e-01
6,10M,1.000000000000e+07,3,8.418421052632e+02,8.418421052632e+02,5.725200848151e+00,5.718299973129e+00,2.747882787752e+00,5.718299973129e+01,2.747882787752e+01,3.269895458269e-01,7.550859815225e-02,5.455610737607e+01,7.224555320337e-01
6,20M,2.000000000000e+07,3,8.418421052632e+02,8.418421052632e+02,5.725200848151e+00,5.697570351978e+00,2.744745343612e+00,1.139514070396e+02,5.489490687224e+01,6.492461583147e-01,1.506725400256e-01,1.088631860821e+02,7.224555320337e-01
6,50M,5.000000000000e+07,3,8.418421052632e+02,8.418421052632e+02,5.725200848151e+00,5.565409357427e+00,2.724775750396e+00,2.782704678714e+02,1.362387875198e+02,1.548689065787e+00,3.712201444972e-01,2.682120644702e+02,7.224555320337e-01
6,100M,1.000000000000e+08,3,8.418421052632e+02,8.418421052632e+02,5.725200848151e+00,5.224055188268e+00,2.670698744157e+00,5.224055188268e+02,2.670698744157e+02,2.729075261007e+00,7.132631782042e-01,5.153426545522e+02,7.224555320337e-01
6,200M,2.000000000000e+08,3,8.418421052632e+02,8.418421052632e+02,5.725200848151e+00,4.511394099961e+00,2.552727018444e+00,9.022788199923e+02,5.105454036888e+02,4.070535345033e+00,1.303283046139e+00,9.416365752199e+02,7.224555320337e-01
6,500M,5.000000000000e+08,3,8.418421052632e+02,8.418421052632e+02,5.725200848151e+00,3.163647031761e+00,2.259270352066e+00,1.581823515880e+03,1.129635176033e+03,5.004331270784e+00,2.552151261861e+00,1.843932328730e+03,7.224555320337e-01
6,1G,1.000000000000e+09,3,8.418421052632e+02,8.418421052632e+02,5.725200848151e+00,2.593741890197e+00,1.829048123788e+00,2.593741890197e+03,1.829048123788e+03,6.727496992962e+00,3.345417039133e+00,2.417020369295e+03,7.224555320337e-01
6,2G,2.000000000000e+09,3,8.418421052632e+02,8.418421052632e+02,5.725200848151e+00,1.904154009882e+00,1.252266614740e+00,3.808308019763e+03,2.504533229479e+03,7.251604986697e+00,3.136343348783e+00,2.265946604728e+03,7.224555320337e-01
6,5G,5.000000000000e+09,3,8.418421052632e+02,8.418421052632e+02,5.725200848151e+00,1.101764337023e+00,6.440172316572e-01,5.508821685117e+03,3.220086158286e+03,6.069423271682e+00,2.073790973357e+00,1.498310583423e+03,7.224555320337e-01
6,10G,1.000000000000e+10,3,8.418421052632e+02,8.418421052632e+02,5.725200848151e+00,6.359382314725e-01,3.666359920308e-01,6.359382314725e+03,3.666359920308e+03,4.044174342484e+00,1.344219506524e+00,9.712117888375e+02,7.224555320337e-01
